N, Pi, Time
       1,       0,      0.000002
       2,       1,      0.000001
       4,       2,      0.000001
       8,       4,      0.000001
      16,       6,      0.000001
      32,      11,      0.000002
      64,      18,      0.000005
     128,      31,      0.000015
     256,      54,      0.000050
     512,      97,      0.000179
    1024,     172,      0.000622
    2048,     309,      0.002238
    4096,     564,      0.001959
    8192,    1028,      0.004978
   16384,    1900,      0.019657
   32768,    3512,      0.067966
   65536,    6542,      0.253875
  131072,   12251,      0.954967
